0,92
0,93
0,94
1,95
1,96
2,97
2,98
3,99
4,100
4,101
5,102
6,103
8,104
9,105
10,106
11,107
12,108
13,109
14,110
15,111
16,112
17,113
18,114
19,115
20,116
21,117
22,118
23,119
24,120
25,121
26,122
27,123
28,124
29,125
30,126
31,127
32,128
33,129
34,130
35,131
36,132
37,133
38,134
39,135
40,136
41,137
42,138
43,139
44,140
45,141
46,142
47,143
48,144
49,145
50,146
51,147
52,148
53,149
54,150
55,151
56,152
57,153
58,154
59,155
60,156
61,157
62,158
63,159
64,160
65,161
66,162
67,163
68,164
69,165
70,166
71,167
72,168
73,169
74,170
75,171
76,172
77,173
78,174
79,175
80,176
81,177
82,178
83,179
84,180
85,181
86,182
87,183
88,184
89,185
90,186
91,187
92,44
93,45
94,46
95,47
96,48
97,49
98,50
99,51
100,52
101,53
102,54
103,55
104,56
105,57
106,58
107,59
108,60
109,61
110,62
111,63
112,64
113,65
114,66
115,67
116,68
117,69
118,70
119,71
120,72
121,73
122,74
123,75
124,76
125,77
126,78
127,79
128,80
129,81
130,82
131,83
132,84
133,85
134,86
135,87
136,88
137,89
138,90
139,91
140,20
141,21
142,22
143,23
144,24
145,25
146,26
147,27
148,28
149,29
150,30
151,31
152,32
153,33
154,34
155,35
156,36
157,37
158,38
159,39
160,40
161,41
162,42
163,43
164,8
165,9
166,10
167,11
168,12
169,13
170,14
171,15
172,16
173,17
174,18
175,19
176,4
177,2
178,1
179,5
180,3
181,6
182,3
183,7
184,6
185,5
186,7
187,7
